id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,listing_id,polarity,price,minimum_nights,maximum_nights,host_is_superhost
975068597879936843,4,4.75,4.75,4.5,4.25,4.75,4.5,4.5,Sumida Ku,9.750685978799369e+17,0.43893333333333334,"12,000.00",2,365,False
977773478315042252,3,4.33,4.67,4.33,4.67,4.67,4.0,4.67,Nakano Ku,9.777734783150423e+17,0.8481,"34,514.00",3,30,True
977788534071625223,9,4.8,4.9,4.6,4.9,4.7,4.7,4.9,Toshima Ku,9.777885340716252e+17,0.7494833333333334,"14,086.00",1,1125,False
980208240254053080,13,4.92,4.85,4.92,5.0,4.85,4.69,4.85,Minato Ku,9.802082402540531e+17,0.7596444444444445,"39,000.00",2,365,False
977819813484862920,4,4.5,5.0,4.25,4.75,5.0,4.75,4.75,Taito Ku,9.77819813484863e+17,0.8211999999999999,"50,000.00",1,365,False
977837405700927362,7,4.71,4.57,4.86,3.86,4.71,4.86,4.29,Shibuya Ku,9.778374057009274e+17,0.7735666666666666,"24,745.00",1,365,False
977839204081556672,7,4.57,4.71,5.0,4.43,4.86,4.57,4.57,Shibuya Ku,9.778392040815567e+17,0.39289999999999997,"31,918.00",1,365,False
977840054413147645,6,4.57,4.5,4.83,4.83,4.67,4.83,4.67,Shibuya Ku,9.778400544131476e+17,0.6704,"12,954.00",1,365,False
977840956445531760,4,4.75,4.5,4.75,4.75,5.0,5.0,4.5,Shibuya Ku,9.778409564455318e+17,0.70175,"13,177.00",1,365,False
977843776489981629,3,4.75,5.0,5.0,5.0,5.0,5.0,4.67,Shibuya Ku,9.778437764899816e+17,0.6809,"12,954.00",1,365,False
977844535680996382,3,4.0,4.33,4.33,4.67,5.0,5.0,4.67,Shibuya Ku,9.778445356809964e+17,0.7528,"13,177.00",1,365,False
980265525966241350,7,5.0,5.0,5.0,5.0,5.0,4.86,4.71,Shinjuku Ku,9.802655259662414e+17,0.8480666666666666,"14,571.00",1,30,False
977881682757595378,13,5.0,5.0,5.0,5.0,5.0,4.92,5.0,Nakano Ku,9.778816827575954e+17,0.9093199999999999,"19,429.00",2,365,True
980300470668567277,10,4.55,4.55,4.91,4.82,4.91,4.82,4.55,Nakano Ku,9.803004706685673e+17,0.8332142857142857,"19,286.00",1,50,False
980656311896407731,6,4.67,4.33,5.0,5.0,5.0,5.0,4.67,Sumida Ku,9.806563118964077e+17,0.8046200000000001,"38,571.00",2,7,False
977905513973819268,12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nakano Ku,9.779055139738193e+17,0.8275857142857143,"30,000.00",3,365,True
977970932863607027,3,4.33,4.67,4.67,4.67,4.67,4.67,4.0,Shinjuku Ku,9.77970932863607e+17,0.8265,"15,429.00",2,50,False
977992182342237577,10,4.27,4.55,4.64,4.55,4.45,4.45,4.36,Setagaya Ku,9.779921823422376e+17,-0.08623333333333334,"34,269.00",1,365,False
978007680307817071,7,5.0,4.86,4.86,5.0,5.0,5.0,4.71,Shinjuku Ku,9.780076803078171e+17,0.79365,"29,286.00",2,365,True
980663413186945483,8,4.38,4.38,4.0,4.75,4.5,4.88,4.63,Shinjuku Ku,9.806634131869455e+17,0.49117500000000003,"20,000.00",1,365,False
978016300465503974,6,4.86,4.86,4.86,4.71,4.86,4.86,4.86,Shibuya Ku,9.78016300465504e+17,0.8166,"12,954.00",1,365,False
978017729387595835,3,4.33,4.67,5.0,4.0,4.33,4.67,4.33,Shibuya Ku,9.780177293875958e+17,0.43943333333333334,"13,177.00",1,365,False
978018707791972196,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Shibuya Ku,9.780187077919722e+17,0.38410000000000005,"12,954.00",1,365,False
978019650214024991,7,4.29,4.33,4.33,4.33,4.33,5.0,4.0,Shibuya Ku,9.78019650214025e+17,0.6733399999999999,"13,177.00",1,365,False
978026256389698030,7,4.86,4.86,5.0,4.86,4.71,4.86,4.86,Taito Ku,9.78026256389698e+17,0.6305142857142857,"16,176.00",2,730,False
978038634200079856,4,4.5,5.0,4.67,5.0,5.0,5.0,4.67,Shibuya Ku,9.780386342000799e+17,0.786225,"20,160.00",3,730,False
